gene
RS04716
RSc0100
RSc0109
RSc0111
RSc0139
RSc0157
RSc0266
RSc0311
RSc0322
RSc0323
RSc0345
RSc0351
RSc0357
RSc0360
RSc0372
RSc0390
RSc0396
RSc0409
RSc0410
RSc0411
RSc0412
RSc0413
RSc0458
RSc0461
RSc0508
RSc0517
RSc0523
RSc0560
RSc0574
RSc0575
RSc0576
RSc0666
RSc0678
RSc0686
RSc0687
RSc0688
RSc0689
RSc0693
RSc0708
RSc0712
RSc0713
RSc0714
RSc0715
RSc0898
RSc0903
RSc0913
RSc0914
RSc0915
RSc0943
RSc0946
RSc0947
RSc1019
RSc1020
RSc1021
RSc1038
RSc1039
RSc1049
RSc1050
RSc1066
RSc1072
RSc1126
RSc1127
RSc1163
RSc1215
RSc1319
RSc1331
RSc1332
RSc1379
RSc1380
RSc1381
RSc1382
RSc1387
RSc1408
RSc1409
RSc1410
RSc1414
RSc1416
RSc1417
RSc1478
RSc1479
RSc1527
RSc1619
RSc1643
RSc1644
RSc1722
RSc1784
RSc1976
RSc1979
RSc1981
RSc1983
RSc1984
RSc2074
RSc2110
RSc2155
RSc2191
RSc2193
RSc2200
RSc2201
RSc2202
RSc2203
RSc2204
RSc2221
RSc2222
RSc2347
RSc2356
RSc2357
RSc2387
RSc2390
RSc2391
RSc2393
RSc2396
RSc2397
RSc2416
RSc2417
RSc2442
RSc2448
RSc2449
RSc2454
RSc2457
RSc2461
RSc2530
RSc2532
RSc2546
RSc2550
RSc2557
RSc2623
RSc2628
RSc2630
RSc2633
RSc2643
RSc2650
RSc2686
RSc2731
RSc2768
RSc2769
RSc2773
RSc2780
RSc2823
RSc2828
RSc2837
RSc2842
RSc2843
RSc2844
RSc2846
RSc2847
RSc2848
RSc2849
RSc2881
RSc2882
RSc2893
RSc2900
RSc2905
RSc2953
RSc2976
RSc2977
RSc2989
RSc3303
RSc3374
RSp0020
RSp0106
RSp0239
RSp0242
RSp0614
RSp0615
RSp0618
RSp0620
RSp0621
RSp0623
RSp0624
RSp0626
RSp1144
RSp1145
RSp1293
d0055
d0058
d0080
d0081
d0091
d0092
d0093
d0094
d0133
d0135
d0218
e0002
e0007
e0008
e0009
e0041
e0090
e0093
e0184
e0193
e0197
e0199
e0201
e0265
